day,hour,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,1036,1037,1038,1039,1040,1041,1042,1043,1044,1045,1046,1047,1048,1049,1050,1051,1052,1053
2,13,Trabaja,,,Trabaja,,,,,,,,Trabaja,,,,,Trabaja,,,,,,,,,,,Trabaja,,,,Trabaja,,Trabaja,,,Trabaja,,
2,14,Trabaja,,,Trabaja,,,,,,,,,,,,Trabaja,,,,,,,,,,,,Trabaja,,,,,,,,,,,
2,15,Trabaja,,,Trabaja,,,,,Trabaja,,,,Trabaja,,,,,,,,,,,,,,,Trabaja,Trabaja,,Trabaja,Trabaja,,Trabaja,,Trabaja,,,
2,16,Trabaja,,,Trabaja,,,,,,,Trabaja,,,,,Trabaja,,,,,,,,,,,,Trabaja,,,,Trabaja,,Trabaja,,Trabaja,,,
2,17,Trabaja,,,Trabaja,,,,,,,,Trabaja,,,,Trabaja,,,,,,,,,,,,Trabaja,,,,,,Trabaja,,,Trabaja,,
2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,7,Trabaja,,,Trabaja,,,Trabaja,,,Trabaja,,,,Trabaja,,,,,,Trabaja,,,,,,Trabaja,,,,,Trabaja,,Trabaja,,,Trabaja,,,
3,8,Trabaja,,,Trabaja,,,,,,Trabaja,,,,Trabaja,,,,,,,Trabaja,,,,,,,,,,Trabaja,,,,,,,,
3,9,Trabaja,,,Trabaja,,,Trabaja,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,Trabaja,,,,,,Trabaja,Trabaja,,Trabaja,,Trabaja,,,Trabaja,,,
3,10,Almuerza,Almuerza,Almuerza,Almuerza,,,,Trabaja,,,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,,,,,,Trabaja,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Trabaja,,
3,11,Trabaja,,,Trabaja,,,,,,,,Trabaja,,,,,Trabaja,,,,,,,,,,,Trabaja,,,,,,,,,,,
3,12,Trabaja,,,Trabaja,,,Trabaja,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,,,,,,Trabaja,Trabaja,Trabaja,Trabaja,,,Trabaja,,Trabaja,,,
3,13,Trabaja,,,Trabaja,,,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,,,,Trabaja,,,,,,,,Trabaja,,Trabaja,,,
3,14,,Trabaja,,,,Trabaja,,,,,,,,,,Trabaja,,,,,Trabaja,,,,,,,,,,,,,,,,,,
3,15,Trabaja,,,Trabaja,,,Trabaja,,,Trabaja,,,,,,Trabaja,,,,,Trabaja,,,,,,,Trabaja,,,Trabaja,,,Trabaja,,Trabaja,,,
3,16,Trabaja,,,Trabaja,,,,,Trabaja,,,Trabaja,,,,,,Trabaja,,,,,,Trabaja,,,,,,,,,,Trabaja,,,Trabaja,,
3,17,Trabaja,,,Trabaja,,,,,Trabaja,,,,Trabaja,,,,,,,Trabaja,,,,,,Trabaja,,,,,,,,,,Trabaja,,,
3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,7,Trabaja,,,Trabaja,,,Trabaja,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,,Trabaja,,,,,,Trabaja,,,Trabaja,,,Trabaja,,,
4,8,Trabaja,,,,,,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,,,,,Trabaja,,,,,,,,
4,9,Trabaja,,,,,,Trabaja,Trabaja,Trabaja,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,,,Trabaja,Trabaja,,Trabaja,,Trabaja,,,Trabaja,,,
4,10,Almuerza,Almuerza,Almuerza,Almuerza,,,Trabaja,,,Trabaja,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,,Trabaja,,,,,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,
4,11,,,,,,,,,Trabaja,,,,Trabaja,,,Trabaja,,,Trabaja,,,,,Trabaja,,,,,,,,,,,,,,,
4,12,Trabaja,,,,,,Trabaja,Trabaja,Trabaja,,,Trabaja,,,,,Trabaja,,,,,Trabaja,,,,,,Trabaja,Trabaja,,Trabaja,,,Trabaja,,Trabaja,,,
4,13,Trabaja,,,Trabaja,,,,,Trabaja,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,,,Trabaja,,,,,,,,Trabaja,,,
4,14,,,Trabaja,,,,,,,,,,,,,,,,,Trabaja,,Trabaja,,,,Trabaja,,,,,,,,,,,,,
4,15,Trabaja,,,Trabaja,,,Trabaja,,,Trabaja,,,,Trabaja,,,,,,Trabaja,,,,Trabaja,,,,,,,Trabaja,,Trabaja,,,Trabaja,,,
4,16,Trabaja,,,Trabaja,,,,,Trabaja,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,,,Trabaja,,,,,,,,Trabaja,,,
4,17,Trabaja,,,Trabaja,,,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,,Trabaja,,,,,,,,,,,
4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,7,Trabaja,,,Trabaja,,,Trabaja,,,Trabaja,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,Trabaja,,,,,,,Trabaja,,,Trabaja,,,
5,8,Trabaja,,,,,,,,,,Trabaja,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,,,Trabaja,,,,,,,,,,
5,9,Trabaja,,,Trabaja,,,Trabaja,Trabaja,,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,Trabaja,,,,Trabaja,,Trabaja,,,Trabaja,,,Trabaja,,,
5,10,Almuerza,Almuerza,Almuerza,Almuerza,,,,Trabaja,,Trabaja,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,,,,Trabaja,,,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,
5,11,Trabaja,,,,,,,,,,,,Trabaja,,,,,Trabaja,,,,Trabaja,,,,,,,Trabaja,,,,,,,,,,
5,12,Trabaja,,,,,,Trabaja,Trabaja,Trabaja,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,,,,Trabaja,Trabaja,,Trabaja,,,Trabaja,,Trabaja,,,
5,13,Trabaja,,,Trabaja,,,,,Trabaja,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,,Trabaja,,,,,,,Trabaja,,,,,,
5,14,Trabaja,,,,,,,,,,,,,,,,,Trabaja,,,,,,Trabaja,,,,Trabaja,,,,,,,,,,,
5,15,Trabaja,,,Trabaja,,,Trabaja,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,,Trabaja,,,,,,,,Trabaja,,,Trabaja,,Trabaja,,
5,16,Trabaja,,,Trabaja,,,,,Trabaja,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,,Trabaja,,,,,,Trabaja,,,,,,,
5,17,Trabaja,,,,,Trabaja,,,,,Trabaja,,,Trabaja,,,,,,Trabaja,,,Trabaja,,,,Trabaja,,,,,,,,,,,,
5,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,7,Trabaja,,,,,,Trabaja,Trabaja,Trabaja,,,Trabaja,,,Trabaja,,Trabaja,,,,,,,Trabaja,,,,,,,,Trabaja,,,,Trabaja,,,
6,8,Trabaja,,,,,,,,Trabaja,,,,Trabaja,,,Trabaja,,,,,Trabaja,,,,Trabaja,,,,,,,,,,,,,,
6,9,Trabaja,,,Trabaja,,Trabaja,,Trabaja,,Trabaja,,,Trabaja,,,,Trabaja,,,,Trabaja,,,,,Trabaja,,,,Trabaja,,Trabaja,,,,Trabaja,,,
6,10,Almuerza,Almuerza,Almuerza,Almuerza,,,,Trabaja,,Trabaja,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Trabaja,,,,,Trabaja,,,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,Almuerza,,,
6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,,Trabaja,,,,,Trabaja,,,,,,,,,,,,,,,,,,,,,,Trabaja,,,,,,,,,,
6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
